State,Total,Share_%
          Connecticut                   ,27.0,0.6330597889800703
          Maine                         ,28.0,0.6565064478311841
          Massachusetts                 ,106.0,2.4853458382180538
          New Hampshire                 ,13.0,0.30480656506447834
          Rhode Island                  ,4.0,0.09378663540445487
          Vermont                       ,8.0,0.18757327080890973
          New Jersey                    ,261.0,6.1195779601406795
          New York                      ,147.0,3.446658851113716
          Pennsylvania                  ,86.0,2.0164126611957793
          Illinois                      ,73.0,1.7116060961313013
          Indiana                       ,67.0,1.570926143024619
          Michigan                      ,50.0,1.1723329425556859
          Ohio                          ,139.0,3.2590855803048067
          Wisconsin                     ,53.0,1.2426729191090269
          Iowa                          ,29.0,0.6799531066822978
          Kansas                        ,14.0,0.32825322391559203
          Minnesota                     ,46.0,1.0785463071512311
          Missouri                      ,75.0,1.7584994138335288
          Nebraska                      ,53.0,1.2426729191090269
          North Dakota                  ,2.0,0.04689331770222743
          South Dakota                  ,28.0,0.6565064478311841
          Delaware                      ,14.0,0.32825322391559203
          District of Columbia          ,4.0,0.09378663540445487
          Florida                       ,547.0,12.825322391559201
          Georgia                       ,245.0,5.74443141852286
          Maryland                      ,22.0,0.5158264947245018
          North Carolina                ,189.0,4.4314185228604925
          South Carolina                ,112.0,2.6260257913247362
          Virginia                      ,95.0,2.2274325908558033
          West Virginia                 ,7.0,0.16412661195779601
          Alabama                       ,31.0,0.7268464243845252
          Kentucky                      ,84.0,1.969519343493552
          Mississippi                   ,19.0,0.44548651817116064
          Tennessee                     ,150.0,3.5169988276670576
          Arkansas                      ,33.0,0.7737397420867527
          Louisiana                     ,8.0,0.18757327080890973
          Oklahoma                      ,24.0,0.5627198124267292
          Texas                         ,469.0,10.996483001172333
          Arizona                       ,75.0,1.7584994138335288
          Colorado                      ,96.0,2.2508792497069168
          Idaho                         ,40.0,0.9378663540445485
          Montana                       ,21.0,0.492379835873388
          Nevada                        ,91.0,2.1336459554513483
          New Mexico                    ,9.0,0.21101992966002345
          Utah                          ,96.0,2.2508792497069168
          Wyoming                       ,1.0,0.023446658851113716
          Alaska                        ,3.0,0.07033997655334115
          California                    ,324.0,7.596717467760844
          Hawaii                        ,5.0,0.11723329425556857
          Oregon                        ,39.0,0.9144196951934349
          Washington                    ,103.0,2.4150058616647128
